age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
37,Private,100566,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,27,0,40,United-States,>50K
25,Private,97852,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
35,Private,92682,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
19,Private,161417,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,30,0,40,United-States,<=50K
45,Private,103779,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,0,40,United-States,>50K
27,Private,142211,Some-college,10,Never-married,Sales,Not-in-family,White,Male,2,0,40,United-States,<=50K
47,Private,117931,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
35,Private,130274,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,6,0,40,United-States,<=50K
21,Private,128278,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
36,Private,128035,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
26,Private,128616,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,3,0,40,United-States,<=50K
31,Private,136212,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,2,40,United-States,<=50K
24,Private,79288,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,1,0,40,United-States,<=50K
33,Private,142595,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
41,Private,79928,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,9,0,40,United-States,<=50K
27,Private,94787,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
37,Private,118796,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,35,0,40,United-States,<=50K
45,Private,96414,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,13,0,40,United-States,<=50K
39,Private,118267,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,14,0,40,United-States,<=50K
23,Private,111656,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,7,1,40,United-States,<=50K
28,Private,69878,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,1,40,United-States,<=50K
40,Private,123589,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,108212,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,30,0,40,United-States,<=50K
40,Private,99834,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,1,40,United-States,<=50K
25,Private,89196,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
38,Private,128571,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,88006,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,32,0,40,United-States,<=50K
22,Private,145165,Some-college,10,Never-married,Sales,Not-in-family,White,Male,14,0,40,United-States,<=50K
24,Private,149499,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
25,Private,144079,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,7,0,40,United-States,<=50K
23,Private,126547,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,10,0,40,United-States,<=50K
36,Private,116288,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,22,0,40,United-States,<=50K
21,Private,160996,Some-college,10,Never-married,Other-service,Own-child,White,Female,3,1,40,United-States,<=50K
41,Private,111260,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
44,Private,83562,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,25,0,40,United-States,>50K
27,Private,85406,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,18,0,40,United-States,<=50K
41,Private,137624,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
26,Private,94582,Some-college,10,Never-married,Sales,Not-in-family,White,Male,16,0,40,United-States,<=50K
23,Private,105957,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
23,Private,122557,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
23,Private,92428,Some-college,10,Never-married,Other-service,Own-child,White,Female,5,1,40,United-States,<=50K
41,Private,130768,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,15,0,40,United-States,<=50K
19,Private,99892,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,10,0,40,United-States,<=50K
44,Private,131222,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,10,0,40,United-States,<=50K
23,Private,100672,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
22,Private,68665,HS-grad,9,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
39,Private,105901,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,21,0,40,United-States,<=50K
25,Private,130930,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,17,0,40,United-States,<=50K
26,Private,186907,HS-grad,9,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,9,0,40,United-States,<=50K
21,Private,57299,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
