age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
43, Private,7969, Bachelors,8, Married-civ-spouse, Transport-moving, Unmarried, White, Female,14322,-20,42, Vietnam, <=50K
52, Private,140628, Bachelors,17, Never-married, Transport-moving, Other-relative, White, Male,-41,-25,42, ?, >50K
49, Private,-12942, Some-college,9, Divorced, Exec-managerial, Husband, White, Female,241,49,42, ?, <=50K
36, Private,151733, 11th,10, Never-married, Protective-serv, Own-child, White, Male,-143,-27,46, United-States, >50K
47, Private,61095, HS-grad,5, Married-civ-spouse, Transport-moving, Unmarried, White, Female,-191,-27,37, United-States, >50K
52, Private,200512, Assoc-acdm,19, Married-civ-spouse, Other-service, Husband, White, Male,-207,40,37, United-States, <=50K
28, Private,45919, HS-grad,9, Married-civ-spouse, Other-service, Other-relative, White, Female,-162,1,38, ?, <=50K
23, Private,110590, Some-college,16, Married-civ-spouse, ?, Other-relative, White, Male,116,-17,11, United-States, <=50K
31, Private,79787, Prof-school,8, Married-civ-spouse, Sales, Husband, White, Male,7046,-42,38, United-States, <=50K
49, Private,-43057, 5th-6th,13, Married-civ-spouse, Machine-op-inspct, Own-child, White, Female,-323,-56,11, ?, >50K
73, Private,104924, Prof-school,11, Married-civ-spouse, Other-service, Not-in-family, White, Male,-133,43,42, United-States, <=50K
44, Private,148543, HS-grad,11, Never-married, Transport-moving, Wife, White, Female,-249,-8,48, United-States, >50K
45, Private,241949, Some-college,6, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,-68,26,38, United-States, <=50K
60, ?,174842, Assoc-voc,8, Never-married, Machine-op-inspct, Wife, White, Female,-320,-34,49, United-States, <=50K
23, Private,124477, HS-grad,9, Divorced, Adm-clerical, Wife, White, Male,-256,-5,50, United-States, <=50K
36, Private,33068, Bachelors,9, Never-married, Exec-managerial, Husband, White, Female,7405,-21,38, United-States, >50K
54, Private,161863, Some-college,15, Divorced, Exec-managerial, Unmarried, White, Female,3,-15,44, United-States, <=50K
41, Private,78111, HS-grad,12, Widowed, Transport-moving, Wife, White, Male,15167,-28,40, United-States, >50K
48, State-gov,41189, 10th,8, Never-married, Prof-specialty, Husband, White, Female,-158,31,17, United-States, <=50K
