age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
43, Self-emp-not-inc,270579, HS-grad,8, Married-civ-spouse, Priv-house-serv, Unmarried, Black, Female,-482,-73,43, United-States, >50K
53, ?,40719, 9th,10, Never-married, Adm-clerical, Husband, White, Female,178,-8,36, United-States, <=50K
47, Private,246036, 5th-6th,10, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,-383,-71,37, United-States, >50K
32, ?,200323, Masters,8, Married-AF-spouse, Other-service, Own-child, Other, Female,-236,0,37, United-States, >50K
38, Local-gov,175766, Prof-school,12, Married-civ-spouse, Craft-repair, Husband, White, Male,-344,-7,38, United-States, <=50K
27, Private,458223, HS-grad,10, Divorced, ?, Husband, White, Female,-25,13,39, United-States, <=50K
51, Private,61935, Masters,8, Married-civ-spouse, Other-service, Husband, White, Female,-223,-18,-9, United-States, <=50K
8, Private,398413, Doctorate,5, Married-civ-spouse, ?, Own-child, White, Female,-433,-5,43, United-States, <=50K
61, Private,339266, 10th,10, Divorced, Exec-managerial, Not-in-family, White, Female,-71,6,35, United-States, <=50K
43, ?,135349, Some-college,14, Married-civ-spouse, Transport-moving, Husband, White, Female,-16,35,37, Germany, <=50K
16, Private,376000, Some-college,4, Married-civ-spouse, ?, Wife, White, Female,-291,33,38, United-States, <=50K
27, Private,132013, Some-college,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,-67,-51,36, United-States, <=50K
22, Private,316565, HS-grad,4, Never-married, Sales, Husband, White, Female,-298,50,40, United-States, >50K
52, Private,172639, Masters,8, Married-civ-spouse, Transport-moving, Husband, White, Male,-496,-27,28, United-States, <=50K
44, Private,93808, Bachelors,8, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,-192,-19,8, United-States, >50K
28, State-gov,219996, HS-grad,8, Married-civ-spouse, Sales, Husband, White, Female,-425,60,39, Mexico, <=50K
27, Local-gov,148586, Prof-school,8, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,-224,-31,39, United-States, >50K
24, Private,41953, Some-college,7, Married-spouse-absent, ?, Unmarried, White, Male,-335,-41,43, Japan, <=50K
57, Local-gov,345041, Some-college,5, Never-married, Sales, Other-relative, White, Female,-223,-80,17, United-States, <=50K
38, Private,156827, Some-college,8, Divorced, Sales, Own-child, White, Female,-54,-81,39, United-States, <=50K
28, Private,150333, Masters,9, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,1810,-42,37, China, >50K
45, Private,31539, 10th,5, Never-married, Craft-repair, Not-in-family, Other, Female,-44,39,40, ?, <=50K
24, Private,154553, Some-college,5, Married-civ-spouse, Tech-support, Unmarried, White, Female,-316,-29,26, Iran, <=50K
37, Private,96733, 7th-8th,7, Never-married, ?, Husband, White, Female,-392,-39,40, United-States, <=50K
50, Federal-gov,45956, 10th,10, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,-83,32,40, United-States, <=50K
30, Federal-gov,512923, 10th,5, Married-AF-spouse, Transport-moving, Husband, White, Female,-252,4,38, United-States, <=50K
47, Private,344265, Some-college,14, Divorced, Other-service, Not-in-family, White, Male,-369,-82,39, United-States, <=50K
39, Private,119539, Some-college,7, Divorced, Other-service, Unmarried, White, Female,-398,-43,41, Germany, <=50K
24, State-gov,79607, Some-college,14, Married-civ-spouse, Other-service, Unmarried, White, Male,-153,-2,38, United-States, >50K
30, State-gov,150482, Some-college,5, Divorced, Machine-op-inspct, Unmarried, Black, Female,-511,-20,37, Mexico, <=50K
30, Private,228305, Some-college,9, Divorced, Farming-fishing, Husband, Asian-Pac-Islander, Female,-39,-3,42, United-States, <=50K
41, Private,113270, Assoc-acdm,7, Widowed, Sales, Husband, White, Female,-400,-57,19, United-States, <=50K
14, Private,281496, Some-college,7, Married-civ-spouse, Sales, Not-in-family, Black, Female,-453,-20,38, Dominican-Republic, <=50K
6, Private,114340, 11th,11, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,-517,-25,40, United-States, <=50K
56, Private,160523, 5th-6th,10, Widowed, Handlers-cleaners, Unmarried, White, Male,247,-51,37, Yugoslavia, <=50K
59, State-gov,199560, 11th,8, Married-civ-spouse, Transport-moving, Not-in-family, White, Female,-236,-75,56, United-States, <=50K
15, Private,95376, Masters,4, Married-civ-spouse, ?, Wife, White, Female,-408,12,41, United-States, <=50K
39, Federal-gov,255256, Bachelors,6, Married-spouse-absent, Other-service, Own-child, White, Female,46,15,6, Canada, <=50K
21, Private,149698, 5th-6th,10, Married-civ-spouse, Other-service, Own-child, White, Male,77,-29,39, United-States, <=50K
46, ?,220467, Some-college,9, Divorced, ?, Not-in-family, Black, Female,-510,-21,45, El-Salvador, <=50K
35, Private,353488, Masters,8, Married-civ-spouse, Transport-moving, Husband, White, Female,-124,-29,7, ?, <=50K
31, Self-emp-inc,235741, 7th-8th,9, Never-married, Adm-clerical, Not-in-family, White, Female,-338,-20,40, United-States, <=50K
46, Private,70083, Some-college,8, Divorced, Machine-op-inspct, Husband, White, Female,39,-12,35, United-States, <=50K
41, Self-emp-not-inc,10809, Assoc-acdm,5, Married-civ-spouse, Sales, Husband, White, Female,-100,-36,38, United-States, >50K
41, Federal-gov,246212, Masters,5, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,92,-5,7, United-States, <=50K
51, ?,371027, Some-college,10, Married-civ-spouse, ?, Wife, Black, Male,-74,-2,1, ?, <=50K
57, Private,377447, Bachelors,12, Married-civ-spouse, Protective-serv, Unmarried, White, Male,-435,71,-12, United-States, <=50K
48, Private,144608, Some-college,11, Widowed, Exec-managerial, Unmarried, White, Female,-249,-31,39, United-States, <=50K
22, Federal-gov,246232, Some-college,8, Married-civ-spouse, Other-service, Husband, White, Male,126,6,4, United-States, <=50K
35, Private,76095, HS-grad,5, Married-civ-spouse, Exec-managerial, Husband, White, Male,-296,16,13, United-States, <=50K
48, Private,112834, Some-college,7, Divorced, Transport-moving, Husband, White, Female,-284,-20,41, United-States, <=50K
51, Self-emp-not-inc,274813, Masters,6, Married-civ-spouse, ?, Wife, White, Male,6133,-26,54, United-States, <=50K
37, Private,18878, 12th,6, Divorced, Sales, Unmarried, White, Female,-37,-81,36, United-States, >50K
44, Private,207479, Some-college,5, Married-civ-spouse, Exec-managerial, Own-child, Black, Male,-156,-24,40, United-States, <=50K
41, ?,61000, 11th,9, Divorced, Craft-repair, Unmarried, White, Female,-13,-28,41, Canada, >50K
28, Local-gov,360180, Some-college,8, Married-civ-spouse, Prof-specialty, Husband, White, Male,-515,-37,13, ?, <=50K
30, Private,122097, 9th,7, Married-civ-spouse, Adm-clerical, Husband, White, Female,-379,-52,41, Japan, >50K
48, Private,142998, Bachelors,11, Married-civ-spouse, Tech-support, Wife, Asian-Pac-Islander, Male,54,-13,35, United-States, <=50K
29, Federal-gov,268479, HS-grad,7, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,-396,-6,42, Italy, <=50K
41, Private,203423, 11th,4, Married-civ-spouse, Craft-repair, Unmarried, Black, Female,-280,-31,44, United-States, >50K
64, Private,191930, Assoc-acdm,15, Married-civ-spouse, Tech-support, Not-in-family, Black, Male,-326,-78,38, Mexico, <=50K
42, Private,137125, Bachelors,14, Divorced, Sales, Own-child, White, Male,-193,-22,46, United-States, >50K
43, ?,163417, HS-grad,8, Married-civ-spouse, Other-service, Own-child, White, Female,-390,-31,0, United-States, <=50K
41, Self-emp-not-inc,279719, HS-grad,12, Married-civ-spouse, Sales, Husband, White, Female,-385,-60,41, Yugoslavia, <=50K
51, Private,276670, Some-college,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,-453,-5,43, United-States, >50K
34, Self-emp-inc,342168, Some-college,9, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,-373,-67,18, United-States, >50K
18, Self-emp-inc,319496, Bachelors,8, Widowed, Other-service, Husband, White, Female,-255,-32,39, ?, <=50K
8, Private,185885, Some-college,8, Never-married, Armed-Forces, Husband, White, Female,-261,-69,38, United-States, >50K
14, ?,167682, HS-grad,7, Married-civ-spouse, Sales, Own-child, White, Female,9261,2,39, United-States, <=50K
36, Private,115639, 7th-8th,9, Divorced, Craft-repair, Own-child, White, Female,-321,-35,41, United-States, <=50K
21, Private,100070, Bachelors,10, Never-married, Machine-op-inspct, Husband, White, Female,-217,-26,39, United-States, <=50K
21, Private,119710, HS-grad,5, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,-245,-22,38, United-States, >50K
56, Private,278495, Masters,8, Never-married, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,-407,9,37, ?, <=50K
39, Local-gov,407178, Some-college,8, Married-civ-spouse, ?, Own-child, White, Female,-93,11,35, Germany, <=50K
27, Private,147219, Bachelors,10, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,-106,-11,36, United-States, <=50K
21, Federal-gov,213585, HS-grad,8, Widowed, Other-service, Husband, White, Male,-340,65,38, United-States, <=50K
41, Local-gov,294706, 9th,10, Married-civ-spouse, Sales, Not-in-family, White, Female,-386,-74,38, United-States, >50K
6, Local-gov,185129, HS-grad,10, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Female,-298,-37,38, United-States, <=50K
14, Private,161443, Some-college,6, Never-married, Other-service, Husband, White, Female,-338,-79,43, United-States, <=50K
47, State-gov,177307, HS-grad,6, Never-married, Sales, Husband, White, Female,85,14,35, United-States, <=50K
34, Federal-gov,9920, Bachelors,10, Married-civ-spouse, ?, Unmarried, Black, Male,-90,-9,38, United-States, >50K
77, ?,212927, Some-college,7, Widowed, Exec-managerial, Other-relative, Black, Female,-145,-37,42, United-States, <=50K
40, Private,223866, Some-college,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,-114,-43,38, United-States, <=50K
14, Self-emp-not-inc,63250, Some-college,4, Never-married, Adm-clerical, Own-child, White, Male,-242,-17,32, United-States, <=50K
33, Private,476091, Some-college,5, Divorced, Adm-clerical, Husband, White, Female,-248,52,36, United-States, <=50K
30, Private,21003, Bachelors,11, Married-civ-spouse, ?, Husband, White, Female,-157,-6,39, United-States, >50K
29, Private,176416, HS-grad,9, Never-married, Other-service, Unmarried, White, Female,41,17,32, United-States, <=50K
41, Federal-gov,176491, Masters,4, Never-married, Craft-repair, Husband, White, Male,-225,-42,42, United-States, <=50K
34, Private,149868, HS-grad,9, Divorced, Exec-managerial, Own-child, White, Male,-346,-3,37, China, <=50K
36, Private,174731, Bachelors,10, Widowed, ?, Own-child, White, Female,-472,-34,39, Guatemala, <=50K
13, Private,70991, Some-college,10, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Female,-181,-50,38, United-States, <=50K
13, Private,184408, 7th-8th,8, Divorced, ?, Not-in-family, White, Female,-250,-61,40, United-States, <=50K
45, Private,88143, HS-grad,6, Married-civ-spouse, ?, Wife, White, Female,1955,11,36, United-States, >50K
27, Private,145504, Bachelors,8, Married-civ-spouse, Other-service, Not-in-family, White, Female,-378,-51,44, ?, <=50K
13, Private,397103, 11th,9, Never-married, ?, Wife, White, Female,-580,-78,41, United-States, <=50K
50, Private,138577, HS-grad,11, Widowed, Exec-managerial, Unmarried, White, Male,24,-23,11, ?, <=50K
9, ?,186614, Bachelors,9, Married-civ-spouse, Priv-house-serv, Own-child, White, Female,-503,-14,42, Dominican-Republic, >50K
32, Federal-gov,231802, Some-college,8, Never-married, ?, Not-in-family, Black, Female,-419,-41,42, Italy, <=50K
50, Private,211839, Some-college,7, Married-civ-spouse, Armed-Forces, Unmarried, White, Female,-446,-48,32, United-States, >50K
27, Self-emp-not-inc,185697, Some-college,10, Separated, Priv-house-serv, Not-in-family, White, Male,-83,-6,-5, United-States, >50K
25, Self-emp-not-inc,435735, Some-college,5, Never-married, Transport-moving, Husband, White, Female,-473,-72,39, Dominican-Republic, >50K
15, ?,99208, 7th-8th,8, Never-married, Craft-repair, Husband, White, Female,-241,-67,53, United-States, <=50K
39, Private,91597, Some-college,7, Married-civ-spouse, Priv-house-serv, Unmarried, White, Male,-248,-29,41, ?, <=50K
40, Private,201381, HS-grad,9, Divorced, Machine-op-inspct, Wife, White, Female,-128,-7,5, United-States, <=50K
45, Private,511801, Some-college,5, Never-married, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,-249,5,39, ?, >50K
44, Federal-gov,122068, Some-college,10, Married-civ-spouse, Craft-repair, Own-child, White, Female,95,3,37, United-States, >50K
8, Local-gov,395799, Some-college,16, Married-civ-spouse, Sales, Unmarried, White, Female,-475,1264,44, United-States, <=50K
10, Local-gov,273637, Masters,16, Married-civ-spouse, Sales, Husband, White, Female,-498,2,43, United-States, <=50K
7, Private,115250, Some-college,16, Married-civ-spouse, Other-service, Not-in-family, Asian-Pac-Islander, Male,-291,-18,39, United-States, >50K
59, Private,309690, Bachelors,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,-367,56,38, Mexico, <=50K
48, State-gov,181775, Doctorate,11, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,-326,-57,38, United-States, <=50K
18, Private,196110, 11th,6, Married-AF-spouse, Adm-clerical, Own-child, White, Female,-265,-35,42, United-States, <=50K
25, Private,147894, Some-college,10, Married-civ-spouse, Other-service, Unmarried, White, Female,2236,5,39, ?, <=50K
47, Private,107555, Some-college,7, Never-married, Craft-repair, Husband, White, Male,-201,-88,39, United-States, >50K
47, Local-gov,425571, Some-college,10, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,-551,-42,39, United-States, <=50K
41, Private,428180, HS-grad,5, Divorced, Transport-moving, Not-in-family, White, Female,-489,-45,38, United-States, <=50K
47, Self-emp-inc,192819, 5th-6th,9, Widowed, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,-91,-26,40, United-States, <=50K
25, ?,158022, HS-grad,8, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,158,-23,-2, United-States, <=50K
41, Private,172399, 11th,4, Married-civ-spouse, ?, Not-in-family, White, Female,-310,-36,42, United-States, <=50K
57, Private,236416, Some-college,10, Widowed, Other-service, Own-child, White, Female,-436,-12,3, Mexico, >50K
14, Private,103134, HS-grad,8, Married-civ-spouse, Craft-repair, Husband, White, Female,-154,9,23, United-States, >50K
31, Private,313094, Prof-school,10, Married-civ-spouse, ?, Unmarried, White, Female,-127,-46,28, United-States, <=50K
45, Private,140652, Assoc-voc,9, Married-civ-spouse, ?, Husband, White, Female,-450,-54,30, United-States, >50K
13, Private,220309, Some-college,10, Divorced, Other-service, Unmarried, White, Female,-386,-59,39, United-States, >50K
39, Self-emp-not-inc,25903, 11th,10, Married-civ-spouse, Craft-repair, Husband, White, Female,1,25,35, Germany, <=50K
36, Federal-gov,202379, HS-grad,9, Widowed, Sales, Wife, White, Female,-453,6,40, United-States, <=50K
26, Federal-gov,272475, Masters,6, Never-married, Transport-moving, Other-relative, White, Female,-469,0,41, Mexico, >50K
27, ?,103047, Some-college,8, Married-civ-spouse, Adm-clerical, Husband, White, Female,-426,-12,42, United-States, <=50K
46, Self-emp-inc,99804, Some-college,10, Divorced, ?, Wife, White, Female,-424,-58,39, United-States, <=50K
41, Federal-gov,366859, Bachelors,12, Married-civ-spouse, ?, Husband, White, Female,-287,0,35, ?, <=50K
42, State-gov,175296, HS-grad,6, Divorced, Exec-managerial, Wife, White, Female,-422,-29,36, ?, >50K
26, Private,201805, 7th-8th,6, Married-civ-spouse, ?, Not-in-family, White, Male,-330,-11,41, United-States, <=50K
30, Private,88490, Bachelors,13, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,-303,-57,33, United-States, >50K
54, Private,86846, Some-college,10, Married-civ-spouse, Craft-repair, Unmarried, White, Female,-489,-65,37, United-States, <=50K
74, Private,223055, Assoc-voc,9, Divorced, Exec-managerial, Wife, Black, Female,-94,-6,43, United-States, <=50K
28, Self-emp-inc,169198, HS-grad,9, Widowed, Transport-moving, Unmarried, White, Male,-109,-59,1, ?, <=50K
47, Self-emp-inc,128750, Assoc-acdm,7, Widowed, Prof-specialty, Husband, White, Male,-211,-31,12, United-States, <=50K
11, Private,164435, Doctorate,17, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,-236,-54,39, United-States, >50K
12, ?,258856, Doctorate,4, Married-civ-spouse, Adm-clerical, Husband, White, Female,-254,-17,25, ?, <=50K
12, Local-gov,221817, HS-grad,12, Divorced, Tech-support, Not-in-family, White, Female,-391,-2,34, ?, <=50K
52, Private,135765, 10th,9, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,-326,-41,43, ?, >50K
10, Local-gov,140130, Some-college,10, Married-civ-spouse, Transport-moving, Unmarried, White, Female,-498,-11,44, Puerto-Rico, >50K
39, Private,157051, Bachelors,7, Never-married, Farming-fishing, Unmarried, White, Female,-3591,1596,40, United-States, <=50K
79, Private,110362, 10th,9, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,-210,16,39, Mexico, >50K
42, Private,54611, 10th,9, Married-civ-spouse, ?, Unmarried, White, Female,-288,13,37, United-States, <=50K
12, Local-gov,187329, Bachelors,17, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,-476,9,43, United-States, >50K
51, Private,208471, 10th,8, Married-civ-spouse, Other-service, Other-relative, White, Female,-258,-81,37, United-States, <=50K
30, Self-emp-not-inc,101512, Bachelors,11, Never-married, Prof-specialty, Other-relative, White, Female,-255,17,37, United-States, <=50K
24, Local-gov,199600, 11th,11, Divorced, Sales, Unmarried, White, Male,-521,-38,37, United-States, <=50K
21, Private,272476, Some-college,4, Married-civ-spouse, Other-service, Not-in-family, White, Female,-292,-69,40, United-States, <=50K
38, Private,-5344, 12th,6, Married-civ-spouse, Other-service, Husband, White, Male,-190,-61,34, ?, <=50K
45, Private,236715, Some-college,9, Married-civ-spouse, ?, Unmarried, Asian-Pac-Islander, Female,-409,-5,37, United-States, <=50K
38, Local-gov,256890, 11th,8, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,-451,3,42, United-States, <=50K
18, Private,200155, Bachelors,7, Married-civ-spouse, ?, Unmarried, White, Female,-129,5,40, United-States, >50K
46, State-gov,207661, Bachelors,11, Married-civ-spouse, Sales, Unmarried, White, Male,-222,-34,40, United-States, <=50K
21, Federal-gov,292541, Some-college,5, Divorced, Exec-managerial, Other-relative, White, Female,-300,-28,44, United-States, <=50K
36, Federal-gov,109502, Some-college,10, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Female,-307,-23,52, United-States, <=50K
12, Private,209268, Some-college,10, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Male,-105,-39,35, United-States, <=50K
40, Private,117994, HS-grad,8, Married-civ-spouse, Machine-op-inspct, Own-child, White, Female,-482,3,32, Taiwan, <=50K
35, Private,309639, 7th-8th,7, Divorced, Machine-op-inspct, Unmarried, White, Female,-136,-22,28, Iran, <=50K
41, Self-emp-inc,392021, HS-grad,11, Married-civ-spouse, Other-service, Own-child, White, Female,-175,9,40, Mexico, >50K
12, Local-gov,79540, 9th,11, Married-civ-spouse, Craft-repair, Unmarried, White, Female,-197,22,5, Dominican-Republic, >50K
36, Federal-gov,263375, Assoc-voc,10, Widowed, Craft-repair, Not-in-family, White, Female,-285,-52,42, Japan, >50K
51, Private,232155, 7th-8th,8, Married-civ-spouse, Other-service, Husband, White, Female,-66,-17,35, United-States, <=50K
33, State-gov,173595, Assoc-acdm,9, Married-civ-spouse, Farming-fishing, Husband, Black, Female,-497,-31,42, United-States, >50K
41, Local-gov,185904, 5th-6th,10, Married-civ-spouse, Sales, Unmarried, Asian-Pac-Islander, Female,-361,-52,52, United-States, >50K
48, Private,155837, HS-grad,15, Married-civ-spouse, Craft-repair, Unmarried, White, Female,-440,297,37, United-States, <=50K
51, Self-emp-not-inc,242154, HS-grad,5, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,-267,-66,38, United-States, <=50K
23, Private,403638, 10th,9, Married-civ-spouse, Tech-support, Husband, White, Female,-174,2,41, United-States, >50K
53, Private,216444, Some-college,9, Married-civ-spouse, Other-service, Husband, White, Female,13,26,34, United-States, <=50K
27, ?,123466, Prof-school,12, Never-married, Sales, Husband, White, Male,-470,-13,37, Dominican-Republic, >50K
51, ?,137231, 7th-8th,11, Married-civ-spouse, ?, Not-in-family, White, Male,-276,-77,38, United-States, <=50K
