age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
45,Private,90375,Masters,14,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,7,1,40,United-States,<=50K
43,Private,144192,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,27,0,49,United-States,>50K
22,Private,86641,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,11,1,40,United-States,<=50K
28,Private,103794,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7,0,40,United-States,<=50K
28,Private,120853,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,8,0,40,United-States,<=50K
31,Private,101726,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,1,40,United-States,<=50K
20,Private,126922,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,1,40,United-States,<=50K
30,Private,124774,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
47,Private,105651,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,24,0,40,United-States,<=50K
41,Private,127509,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,0,40,United-States,<=50K
34,Private,100517,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,<=50K
47,Private,130503,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,19,1,40,United-States,>50K
30,Private,97119,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,23,0,40,United-States,<=50K
48,Private,87267,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1,40,United-States,>50K
30,Private,139226,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,6,0,40,United-States,<=50K
21,Private,137332,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
46,Private,79824,Masters,14,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,11,1,40,United-States,>50K
28,Private,106011,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,17,0,40,United-States,<=50K
43,Private,84870,Bachelors,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,51,United-States,>50K
27,Private,157764,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,9,0,40,United-States,<=50K
29,Private,93482,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
44,Private,88582,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15,0,49,United-States,>50K
49,Private,156490,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,13,0,40,United-States,>50K
30,Private,80792,HS-grad,9,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
47,Private,130144,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7,1,40,United-States,>50K
33,Private,91283,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,10,0,40,United-States,<=50K
44,Private,94163,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,13,0,40,United-States,>50K
26,Private,144407,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,8,0,40,United-States,<=50K
22,Private,93781,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,1,40,United-States,<=50K
29,Private,109659,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
23,Private,110072,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,23,0,40,United-States,<=50K
47,Private,87681,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,8,0,40,United-States,>50K
36,Private,127181,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,12,0,40,United-States,<=50K
42,Private,56652,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,16,0,40,United-States,>50K
39,Private,105977,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
20,Private,106253,Some-college,10,Never-married,Other-service,Own-child,White,Male,10,1,40,United-States,<=50K
27,Private,85737,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,4,0,40,United-States,<=50K
46,Private,81828,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,10,0,40,United-States,>50K
19,Private,108879,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
22,Private,88045,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
29,Private,92857,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,4,0,40,United-States,<=50K
40,Private,106732,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,17,0,49,United-States,>50K
30,Private,54914,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
36,Private,131457,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
40,Private,89297,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,>50K
26,Private,81367,Some-college,10,Married-civ-spouse,Sales,Not-in-family,White,Male,7,1,40,United-States,<=50K
27,Private,116599,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,34,0,40,United-States,<=50K
49,Private,95197,Masters,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,34,0,40,United-States,>50K
31,Private,117410,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,1,40,United-States,<=50K
37,Private,117105,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,19,0,40,United-States,>50K
32,Private,213119,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
43,Private,92649,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,29,0,40,United-States,>50K
30,Private,100205,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,40,United-States,<=50K
42,Private,104674,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
47,Private,137314,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7,0,40,United-States,<=50K
21,Private,83550,HS-grad,9,Never-married,Other-service,Own-child,White,Female,9,0,40,United-States,<=50K
23,Private,105168,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
32,Private,130227,Some-college,10,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
31,Private,109599,Bachelors,13,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,64,0,40,United-States,<=50K
41,Private,108142,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
25,Private,98459,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
36,Private,115073,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,18,0,40,United-States,<=50K
34,Private,121803,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,13,1,40,United-States,<=50K
25,Private,96218,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,1,40,United-States,<=50K
26,Private,131639,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,11,0,40,United-States,<=50K
18,Private,95782,HS-grad,7,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
18,Private,108850,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
38,Private,94283,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
36,Private,137951,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,21,1,40,United-States,>50K
46,Private,89718,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,12,0,50,United-States,>50K
22,Private,166513,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,1,40,United-States,<=50K
19,Private,102072,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
38,Private,134674,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,8,0,40,United-States,<=50K
27,Private,110933,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,6,1,40,United-States,<=50K
43,Private,109250,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
47,Private,95710,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,3,0,40,United-States,>50K
26,Private,124907,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,27,0,40,United-States,<=50K
39,Private,80935,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,5,1,40,United-States,<=50K
22,Private,24696,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,6,0,40,United-States,<=50K
37,Private,86325,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,24,0,40,United-States,<=50K
43,Private,140183,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,0,40,United-States,>50K
49,Private,115522,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,>50K
25,Private,84274,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
22,Private,203268,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,1,40,United-States,<=50K
31,Private,121101,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,8,0,40,United-States,<=50K
29,Private,145378,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
31,Private,119622,Some-college,10,Never-married,Sales,Not-in-family,White,Male,13,0,40,United-States,<=50K
48,Private,86366,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
32,Private,146365,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,11,0,40,United-States,>50K
30,Private,117810,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0,40,United-States,<=50K
40,Private,93925,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1,40,United-States,<=50K
26,Private,148615,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,20,0,40,United-States,<=50K
38,Private,105872,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,26,0,40,United-States,>50K
26,Private,93057,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,6,0,40,United-States,<=50K
29,Private,113660,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,9,1,40,United-States,<=50K
42,Private,139485,Bachelors,13,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
44,Private,127956,Some-college,10,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,14,0,40,United-States,<=50K
24,Private,125613,Some-college,10,Never-married,Other-service,Own-child,White,Female,7,1,40,United-States,<=50K
19,Private,97568,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,1,40,United-States,<=50K
34,Private,63636,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,9,1,40,United-States,<=50K
44,Private,140351,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,1,54,United-States,>50K
26,Private,118922,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2,1,40,United-States,<=50K
38,Private,120722,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,28,1,40,United-States,>50K
21,Private,57196,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
25,Private,138077,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,1,40,United-States,<=50K
38,Private,124153,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1,40,United-States,<=50K
47,Private,88170,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,6,1,40,United-States,<=50K
32,Private,105199,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,3,0,40,United-States,<=50K
29,Private,148957,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
22,Private,118023,Some-college,10,Never-married,Sales,Own-child,White,Male,0,1,40,United-States,<=50K
36,Private,152860,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
27,Private,189721,HS-grad,7,Never-married,?,Not-in-family,White,Male,12,0,40,United-States,<=50K
40,Private,133598,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,25,0,40,United-States,<=50K
38,Private,128061,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,>50K
46,Private,82117,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,20,1,40,United-States,>50K
18,Private,207073,HS-grad,9,Never-married,Other-service,Own-child,White,Female,6,0,40,United-States,<=50K
39,Private,100173,Masters,14,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,>50K
28,Private,114747,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,1,40,United-States,<=50K
40,Private,102977,Bachelors,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7,0,40,United-States,>50K
32,Private,101688,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1,40,United-States,<=50K
31,Private,96622,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,15,0,40,United-States,<=50K
41,Private,87105,Some-college,10,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
30,Private,67209,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,6,0,40,United-States,<=50K
41,Private,102282,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,29,0,40,United-States,>50K
44,Private,110207,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,6,0,40,United-States,<=50K
42,Private,98593,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,3,0,40,United-States,>50K
48,Private,74051,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
39,Private,111935,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,24,0,40,United-States,>50K
32,Private,143029,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,32853,Some-college,10,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
31,Private,114757,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,3,0,40,United-States,<=50K
24,Private,90944,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
20,Private,132066,HS-grad,7,Never-married,Other-service,Not-in-family,White,Male,10,0,40,United-States,<=50K
45,Private,93689,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,24,1,40,United-States,<=50K
26,Private,104753,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
19,Private,101553,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,1,40,United-States,<=50K
47,Private,87898,Some-college,10,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
27,Private,148829,HS-grad,5,Married-civ-spouse,Sales,Not-in-family,White,Male,3,1,40,United-States,<=50K
28,Private,81421,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,18,0,40,United-States,<=50K
45,Private,77206,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,31,1,40,United-States,<=50K
23,Private,96291,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,4,0,40,United-States,<=50K
43,Private,116024,Bachelors,13,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,1,0,40,United-States,<=50K
28,Private,112706,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,5,0,40,United-States,<=50K
37,Private,111150,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,0,40,United-States,>50K
34,Private,110625,Some-college,10,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
30,Private,87252,HS-grad,9,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,2,0,40,United-States,<=50K
46,Private,109522,Bachelors,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,18,1,40,United-States,>50K
40,Private,68600,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
29,Private,73343,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,5,0,40,United-States,<=50K
26,Private,128085,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
32,Private,128493,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,10,0,40,United-States,<=50K
29,Private,104149,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,12,0,40,United-States,<=50K
