age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
49, Private,171648, Some-college,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,-121,-9,50, United-States, >50K
53, Private,217124, Bachelors,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,-103,-8,60, United-States, >50K
63, Self-emp-not-inc,87257, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,-115,1584,59, United-States, >50K
29, Private,14402, Some-college,16, Divorced, Transport-moving, Not-in-family, White, Female,-211,-2,40, United-States, <=50K
43, Private,180912, Bachelors,7, Widowed, ?, Unmarried, White, Female,-23,1739,19, United-States, <=50K
55, State-gov,128568, 10th,11, Married-civ-spouse, Sales, Husband, White, Male,-41,-5,49, United-States, >50K
38, Private,95356, 7th-8th,11, Married-civ-spouse, Transport-moving, Unmarried, White, Male,-213,0,5, United-States, <=50K
57, Local-gov,181041, Masters,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,-144,1735,44, United-States, >50K
30, Private,281327, 12th,10, Widowed, Transport-moving, Not-in-family, Other, Male,39,-3,40, United-States, <=50K
51, Private,71517, Some-college,12, Never-married, Transport-moving, Own-child, White, Female,-162,6,44, China, <=50K
55, Private,110180, HS-grad,12, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,-128,1,40, ?, <=50K
33, Local-gov,167390, Some-college,7, Married-spouse-absent, ?, Other-relative, White, Female,-92,-7,40, United-States, <=50K
30, Self-emp-inc,275622, Masters,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,3157,-7,40, United-States, >50K
24, ?,75332, HS-grad,12, Never-married, Machine-op-inspct, Unmarried, White, Female,26,5,40, United-States, <=50K
68, Self-emp-not-inc,3431, Masters,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,1413,-4,60, United-States, >50K
29, Private,168177, HS-grad,7, Never-married, Adm-clerical, Wife, White, Female,-232,-6,10, United-States, <=50K
23, Private,106184, Some-college,6, Divorced, Sales, Wife, White, Male,-26,-2,49, Taiwan, <=50K
33, Private,306536, Some-college,10, Never-married, Adm-clerical, Own-child, Black, Female,-154,-2,9, United-States, <=50K
49, Private,98761, HS-grad,10, Married-AF-spouse, Sales, Own-child, White, Female,-176,5,30, United-States, <=50K
48, Self-emp-inc,144093, HS-grad,13, Married-civ-spouse, ?, Husband, White, Male,4653,-5,50, United-States, >50K
45, ?,194544, HS-grad,7, Divorced, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,-54,-9,21, United-States, <=50K
70, Self-emp-inc,181115, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,-72,-3,58, United-States, >50K
34, Private,113051, Some-college,10, Never-married, Craft-repair, Own-child, Black, Female,-249,5,7, United-States, <=50K
37, Private,67270, Assoc-voc,8, Divorced, Sales, Wife, White, Male,-183,2,37, United-States, <=50K
42, Private,93023, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,-49,1,40, United-States, >50K
29, Private,220855, Some-college,9, Never-married, Other-service, Unmarried, Amer-Indian-Eskimo, Female,-111,-8,40, United-States, <=50K
36, Private,240753, HS-grad,10, Never-married, Sales, Other-relative, Amer-Indian-Eskimo, Female,-229,-6,40, United-States, <=50K
48, Private,150177, 10th,9, Married-civ-spouse, ?, Not-in-family, White, Male,-208,3,40, Taiwan, <=50K
52, Local-gov,42507, Prof-school,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,-126,-4,49, United-States, >50K
42, Private,17782, Some-college,10, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,-44,0,48, China, <=50K
34, Self-emp-not-inc,295367, HS-grad,6, Never-married, Craft-repair, Unmarried, White, Female,-114,-5,12, United-States, <=50K
40, Private,146852, Prof-school,7, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,-157,6,60, Philippines, <=50K
42, Private,107400, Masters,13, Married-civ-spouse, Transport-moving, Unmarried, White, Male,-180,-9,49, El-Salvador, <=50K
67, Private,137634, Assoc-voc,13, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,-82,-13,40, United-States, <=50K
49, Private,73804, Some-college,10, Married-civ-spouse, ?, Wife, White, Male,13,-4,40, United-States, <=50K
42, Private,77079, Assoc-voc,10, Married-civ-spouse, Farming-fishing, Own-child, White, Female,-30,3,36, Guatemala, <=50K
32, Private,58005, 7th-8th,10, Married-spouse-absent, Craft-repair, Own-child, White, Female,-229,4,34, United-States, <=50K
52, Private,90427, Bachelors,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,-53,-3,40, United-States, >50K
58, Private,220227, Prof-school,13, Married-civ-spouse, Transport-moving, Husband, White, Male,-183,-5,49, United-States, >50K
35, Federal-gov,170587, 11th,9, Divorced, Craft-repair, Own-child, White, Male,-318,-11,40, United-States, <=50K
55, Private,152653, Some-college,5, Married-civ-spouse, ?, Own-child, Asian-Pac-Islander, Male,-222,-12,40, Portugal, <=50K
35, Private,96685, Some-college,10, Divorced, Adm-clerical, Unmarried, Black, Female,-60,8,40, United-States, <=50K
48, Private,85769, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,-145,-2,57, United-States, >50K
49, Private,216918, Some-college,11, Never-married, ?, Not-in-family, Black, Female,-273,-8,27, United-States, <=50K
33, Self-emp-not-inc,215395, HS-grad,7, Married-spouse-absent, Sales, Not-in-family, White, Male,-77,-1,15, United-States, <=50K
47, Private,94381, Bachelors,16, Married-civ-spouse, Adm-clerical, Husband, White, Male,11003,3,40, United-States, >50K
44, Private,207041, Some-college,8, Married-civ-spouse, Craft-repair, Wife, White, Female,-45,14,43, Yugoslavia, <=50K
25, Private,155318, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,-192,1,40, United-States, <=50K
21, Private,282678, 11th,10, Separated, Sales, Other-relative, White, Female,-346,-1,31, United-States, <=50K
25, Federal-gov,199880, 11th,13, Married-civ-spouse, Craft-repair, Own-child, White, Female,-311,-2,21, United-States, <=50K
32, Private,160038, Masters,15, Married-civ-spouse, Adm-clerical, Husband, White, Male,-290,-5,14, Puerto-Rico, <=50K
35, Private,38373, Some-college,10, Divorced, Other-service, Not-in-family, Black, Female,-19,3,15, United-States, <=50K
60, Federal-gov,121216, Masters,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,-319,-15,40, Puerto-Rico, <=50K
42, State-gov,107799, Prof-school,16, Married-civ-spouse, Priv-house-serv, Husband, White, Male,-223,0,35, Mexico, <=50K
54, Private,79357, HS-grad,10, Divorced, Sales, Not-in-family, White, Male,-207,1,40, United-States, <=50K
29, Private,189448, HS-grad,14, Widowed, Other-service, Not-in-family, White, Female,-28,1640,40, United-States, <=50K
45, Private,423530, HS-grad,9, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,-1,40, United-States, <=50K
68, Private,14135, 11th,8, Divorced, Transport-moving, Own-child, White, Female,-240,-1,40, United-States, <=50K
57, Private,88330, Assoc-voc,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,-189,-4,40, United-States, <=50K
50, Private,153111, 7th-8th,10, Never-married, ?, Not-in-family, Amer-Indian-Eskimo, Female,-152,3,26, United-States, <=50K
76, Private,170164, HS-grad,8, Divorced, Other-service, Wife, White, Female,-151,-1,50, United-States, <=50K
25, Private,304426, Some-college,6, Divorced, Protective-serv, Not-in-family, White, Female,-53,-5,34, United-States, <=50K
29, Private,446563, Assoc-voc,9, Never-married, Craft-repair, Not-in-family, White, Female,12,-7,40, United-States, <=50K
23, Private,402306, Some-college,10, Never-married, Adm-clerical, Unmarried, White, Female,-225,1,40, United-States, <=50K
44, Private,227959, HS-grad,10, Never-married, Other-service, Unmarried, White, Female,-314,4,40, United-States, <=50K
60, Private,117599, Masters,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,10501,-3,40, United-States, >50K
33, Private,184636, Assoc-voc,9, Never-married, Adm-clerical, Not-in-family, Black, Female,-130,5,32, United-States, <=50K
45, ?,150393, HS-grad,9, Divorced, Transport-moving, Unmarried, White, Male,-265,0,40, United-States, <=50K
43, Self-emp-not-inc,207485, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,-174,-4,9, United-States, <=50K
36, Private,96285, Some-college,9, Divorced, Other-service, Not-in-family, White, Female,-207,5,40, United-States, <=50K
48, Private,316286, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Female,-60,-2,14, United-States, <=50K
36, Private,89548, Assoc-acdm,6, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Female,-138,4,40, El-Salvador, <=50K
38, Private,162543, HS-grad,11, Married-civ-spouse, Handlers-cleaners, Own-child, White, Female,-227,0,39, United-States, <=50K
43, ?,132699, Some-college,7, Widowed, Other-service, Unmarried, Amer-Indian-Eskimo, Female,-319,6,40, Haiti, <=50K
66, Private,144057, Prof-school,9, Divorced, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,-29,-7,40, United-States, <=50K
40, Private,139326, 12th,9, Divorced, Transport-moving, Own-child, White, Female,-49,-4,40, United-States, <=50K
21, Private,160130, 10th,6, Married-civ-spouse, Exec-managerial, Wife, White, Male,-44,-3,44, United-States, <=50K
70, Private,96256, Some-college,8, Divorced, Farming-fishing, Own-child, White, Male,-116,-8,36, United-States, <=50K
54, State-gov,141307, Doctorate,10, Married-civ-spouse, Transport-moving, Wife, White, Female,-221,-5,19, United-States, <=50K
61, Private,282668, Some-college,9, Divorced, ?, Not-in-family, White, Female,-119,1,40, United-States, <=50K
47, Private,172409, Some-college,6, Separated, ?, Unmarried, White, Male,-222,-8,40, United-States, <=50K
41, Private,238781, HS-grad,13, Married-AF-spouse, Priv-house-serv, Not-in-family, White, Male,-127,8,49, United-States, <=50K
63, Private,89141, Some-college,8, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,-141,-6,20, Mexico, <=50K
49, Private,151745, HS-grad,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,-52,-8,40, United-States, <=50K
32, Private,145627, Some-college,13, Married-civ-spouse, Craft-repair, Wife, White, Male,17,1737,40, United-States, <=50K
46, Self-emp-not-inc,42784, Bachelors,15, Married-civ-spouse, Exec-managerial, Husband, White, Male,-155,-7,50, United-States, >50K
56, Private,81983, Masters,11, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,-314,2,40, United-States, <=50K
57, Private,308771, Bachelors,7, Never-married, Adm-clerical, Own-child, Other, Female,-245,-7,18, United-States, <=50K
38, Private,214051, Some-college,13, Never-married, Adm-clerical, Unmarried, White, Female,-246,3,23, United-States, <=50K
42, Private,31362, Bachelors,17, Married-civ-spouse, Sales, Husband, White, Male,-80,-6,51, United-States, >50K
36, Private,166734, Some-college,9, Never-married, Other-service, Unmarried, White, Female,-330,-2,40, United-States, <=50K
33, Local-gov,159416, Some-college,7, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,-74,1,40, Dominican-Republic, <=50K
47, Federal-gov,99132, Bachelors,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,-117,-2,34, United-States, >50K
39, Private,98579, 7th-8th,13, Married-AF-spouse, ?, Unmarried, Amer-Indian-Eskimo, Male,-94,5,20, ?, <=50K
31, Private,94725, Masters,15, Married-civ-spouse, Craft-repair, Husband, White, Male,-54,4,50, United-States, >50K
58, Private,118936, HS-grad,10, Married-civ-spouse, Farming-fishing, Unmarried, White, Male,-199,3,60, United-States, <=50K
56, State-gov,25673, HS-grad,10, Never-married, Craft-repair, Wife, Black, Male,-229,-4,40, United-States, <=50K
56, Private,14903, HS-grad,10, Never-married, Machine-op-inspct, Unmarried, White, Male,-151,7,57, United-States, <=50K
57, Private,284132, Some-college,10, Never-married, ?, Own-child, Black, Female,-130,-1,55, United-States, <=50K
56, Private,204204, Some-college,10, Married-civ-spouse, Craft-repair, Wife, White, Male,-152,-10,40, United-States, <=50K
64, Federal-gov,33223, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,-339,-15,40, Mexico, <=50K
32, Private,152258, HS-grad,9, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Female,-149,3,40, United-States, <=50K
47, Private,3537, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Male,-160,-4,40, United-States, <=50K
32, Private,119736, Some-college,5, Never-married, Adm-clerical, Not-in-family, White, Female,-228,4,32, United-States, <=50K
63, Self-emp-not-inc,65841, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,4440,1596,46, United-States, >50K
53, Private,73478, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,4454,-2,40, United-States, >50K
40, Private,102768, HS-grad,9, Married-civ-spouse, Craft-repair, Unmarried, White, Female,-47,-9,40, United-States, <=50K
69, Private,75842, HS-grad,9, Divorced, Farming-fishing, Unmarried, White, Female,-235,9,24, United-States, <=50K
33, Local-gov,85689, Some-college,6, Married-civ-spouse, Farming-fishing, Wife, White, Male,-99,-10,22, United-States, <=50K
58, Private,207619, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,-153,-4,15, United-States, <=50K
33, Private,246469, 11th,10, Divorced, Farming-fishing, Unmarried, White, Male,-208,1,13, United-States, <=50K
23, Private,89424, Some-college,11, Never-married, Transport-moving, Other-relative, Amer-Indian-Eskimo, Female,-240,-8,37, United-States, <=50K
56, Private,104780, Assoc-acdm,13, Married-civ-spouse, Transport-moving, Husband, White, Female,-139,4,40, United-States, <=50K
48, Private,161803, Prof-school,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,-91,-5,61, United-States, >50K
34, Private,104931, Some-college,13, Widowed, Transport-moving, Own-child, Asian-Pac-Islander, Female,-103,-3,20, United-States, <=50K
60, Private,129083, 9th,9, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Female,-225,2,40, ?, <=50K
41, Private,163058, Some-college,15, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,-114,7,51, Japan, <=50K
57, Private,31194, Bachelors,16, Married-civ-spouse, Exec-managerial, Husband, White, Male,5621,2,50, United-States, >50K
38, Self-emp-not-inc,107024, Bachelors,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,10201,0,40, Mexico, >50K
64, Local-gov,87201, Bachelors,4, Married-civ-spouse, Exec-managerial, Husband, White, Female,-187,-6,40, United-States, <=50K
55, Private,28082, Some-college,7, Widowed, Machine-op-inspct, Unmarried, White, Female,34,5,40, ?, <=50K
36, State-gov,222841, Some-college,7, Never-married, Adm-clerical, Wife, White, Female,-138,0,14, United-States, <=50K
33, Private,105639, HS-grad,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,-171,-1,56, United-States, >50K
32, Private,40911, Some-college,7, Married-spouse-absent, Prof-specialty, Husband, White, Male,-41,-1,59, United-States, <=50K
47, Private,79315, Some-college,10, Never-married, ?, Other-relative, White, Female,-131,-1,43, United-States, <=50K
29, Private,90217, Some-college,10, Never-married, ?, Unmarried, Black, Female,-215,-6,39, United-States, <=50K
18, Private,123469, Some-college,10, Divorced, Protective-serv, Other-relative, Black, Female,-329,-11,40, Italy, <=50K
40, Private,230057, Assoc-voc,9, Divorced, Machine-op-inspct, Not-in-family, Black, Female,-46,1,40, China, <=50K
52, Private,246573, Assoc-acdm,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,-141,-2,40, United-States, >50K
32, Private,432137, Some-college,7, Never-married, Other-service, Own-child, White, Female,-255,1,8, United-States, <=50K
54, Private,108467, HS-grad,7, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Female,-35,-6,40, United-States, <=50K
35, Private,172004, Some-college,10, Widowed, ?, Unmarried, White, Female,-163,1,20, United-States, <=50K
46, Local-gov,88694, HS-grad,4, Married-civ-spouse, ?, Not-in-family, Asian-Pac-Islander, Male,-189,-5,11, United-States, <=50K
50, Private,186615, Some-college,8, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Male,-109,-3,26, United-States, <=50K
55, Private,20490, HS-grad,10, Never-married, Machine-op-inspct, Unmarried, White, Female,-37,10,40, United-States, <=50K
54, Local-gov,10340, 5th-6th,8, Divorced, Machine-op-inspct, Own-child, White, Female,-93,11,50, Vietnam, <=50K
58, Private,84353, HS-grad,9, Widowed, Sales, Own-child, White, Male,-44,-4,40, United-States, <=50K
35, Private,183078, HS-grad,12, Divorced, Craft-repair, Unmarried, White, Male,-84,-1,40, United-States, <=50K
45, Private,101149, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,-98,2,21, United-States, >50K
39, Private,130116, 7th-8th,8, Never-married, Other-service, Unmarried, White, Male,-196,3,20, Germany, <=50K
23, Private,123241, Some-college,10, Divorced, Adm-clerical, Own-child, Black, Female,-225,4,40, United-States, <=50K
36, Private,367108, Some-college,11, Widowed, ?, Not-in-family, White, Female,-108,-2,40, United-States, <=50K
