age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
34,Private,103595,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,19,1,40,United-States,<=50K
25,Private,104912,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,115305,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,9,0,40,United-States,<=50K
30,Private,102129,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
31,Private,104483,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,80458,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
45,Private,113082,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,30,1,40,United-States,<=50K
34,Private,77899,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,11,0,40,United-States,<=50K
30,Private,129478,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
21,Private,107995,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
27,Private,126641,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,40,United-States,<=50K
25,Private,98779,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,13,1,40,United-States,<=50K
33,Private,101812,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
32,Private,90008,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
26,Private,147304,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,30,0,40,United-States,<=50K
30,Private,80360,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3,0,40,United-States,<=50K
31,Private,67578,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7,0,40,United-States,<=50K
26,Private,95672,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,44,0,40,United-States,<=50K
33,Private,149409,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,12,0,40,United-States,<=50K
31,Private,117725,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
23,Private,88741,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,104793,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
32,Private,127384,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
44,Private,131593,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
31,Private,100942,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,30,0,40,United-States,<=50K
36,Private,95524,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
33,Private,133277,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4,0,40,United-States,<=50K
44,Private,118946,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,4,0,40,United-States,<=50K
22,Private,95501,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
33,Private,119728,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,28,0,40,United-States,<=50K
29,Private,90817,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,30,0,40,United-States,<=50K
24,Private,114159,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,98912,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,15,1,40,United-States,<=50K
27,Private,192540,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,111765,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,27,0,40,United-States,<=50K
29,Private,105426,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,18,1,40,United-States,<=50K
19,Private,98066,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
27,Private,91674,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,6,1,40,United-States,<=50K
32,Private,112697,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
23,Private,117338,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,6,1,40,United-States,<=50K
25,Private,122256,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,41,0,40,United-States,<=50K
24,Private,63575,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
38,Private,206715,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
34,Private,123029,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
34,Private,107319,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,6,1,40,United-States,<=50K
34,Private,102003,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,5,0,40,United-States,<=50K
36,Private,139365,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,93229,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
39,Private,143175,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
25,Private,100439,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,27,0,40,United-States,<=50K
27,Private,124147,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,41,0,40,United-States,<=50K
26,Private,121888,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
25,Private,79404,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,37,1,40,United-States,<=50K
28,Private,111060,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,13,0,40,United-States,<=50K
23,Private,95657,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
32,Private,100077,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,113629,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
27,Private,103301,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
47,Private,129108,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,18,1,40,United-States,<=50K
27,Private,112268,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,91653,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,1,0,40,United-States,<=50K
25,Private,105018,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,37,0,40,United-States,<=50K
22,Private,136329,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,6,0,40,United-States,<=50K
33,Private,95441,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,6,0,40,United-States,<=50K
47,Private,91605,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
36,Private,113009,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,27,0,40,United-States,<=50K
32,Private,213697,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
26,Private,62066,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
37,Private,96494,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
40,Private,77697,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
23,Private,119461,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,11,0,40,United-States,<=50K
34,Private,97389,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1,40,United-States,<=50K
32,Private,100038,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
32,Private,98405,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
46,Private,97206,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
31,Private,187350,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
27,Private,101454,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,27,0,40,United-States,<=50K
26,Private,88292,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,46,0,40,United-States,<=50K
22,Private,95561,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,6,0,40,United-States,<=50K
45,Private,133452,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,106847,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,112434,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
27,Private,103358,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
44,Private,73837,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
31,Private,108736,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,6,1,40,United-States,<=50K
23,Private,84509,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
31,Private,65618,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,6,0,40,United-States,<=50K
38,Private,113555,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1,40,United-States,<=50K
32,Private,112716,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,16,0,40,United-States,<=50K
28,Private,124655,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,14,0,40,United-States,<=50K
